Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months
,e9f91eae-0b02-4532-8ae3-7e2a3958dd78,f5a94f51-d6bc-4c5e-8a94-62565a47ba5c,debbindiff,80,80,f80fb9a9-5329-47c2-864d-00ed5cf744bf,GNU General Public License v3.0 or later,RECIPROCAL,Exact,,DYNAMICALLY_LINKED,TRUE,MEDIUM,Not In Violation,,18/12/19,debian,diffoscope/80,NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,3,HIGH,UNREVIEWED,,UNREVIEWED,,0,0,0,0,17/03/17,120,,,
,2510dcac-ef8a-4088-a60c-ae6605054c3c,3c7ae73e-145c-4bbf-b4a5-a30d9d8930ce,Linux Kernel,3.2.101,3.2.101-1/armhf,0289ba34-8fe7-41db-82e0-49c28b9c2414,GNU General Public License v2.0 only,RECIPROCAL,Files Modified,,DYNAMICALLY_LINKED,TRUE,LOW,In Violation,,18/12/19,debian,linux-headers-3.2.0-6-vexpress/3.2.101-1/armhf,NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,2,HIGH,UNREVIEWED,,UNREVIEWED,,24,312,704,115,19/03/18,879,STABLE,139330,4037
,cf9a6b9c-b48c-4f3c-907d-7844acf71935,385a2529-1657-40d1-b66c-83905673be87,U-Boot,2012.04.01,2012.04.01-2,"bf913382-7596-42ad-8385-2f49fa655362,f80fb9a9-5329-47c2-864d-00ed5cf744bf,39692bc6-4d1c-4466-a02c-fa6f21170587",(GNU Lesser General Public License v3.0 or later AND GNU General Public License v2.0 or later AND GNU General Public License v3.0 or later),"WEAK_RECIPROCAL,RECIPROCAL","Exact,Files Modified",,DYNAMICALLY_LINKED,TRUE,HIGH,In Violation,,18/12/19,debian,u-boot/2012.04.01-2,NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,76,HIGH,UNREVIEWED,,UNREVIEWED,,2,7,8,1,25/04/12,191,STABLE,6931,397
,0de343dd-4304-437f-97a2-00fb17d7b2f9,8baa0c4f-5b9e-44d0-94d6-84b0597fb930,Open Cryptographic Framework for Linux,20120127,20120127,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,"Files Added/Deleted,Exact",,DYNAMICALLY_LINKED,TRUE,HIGH,Not In Violation,,18/12/19,unknown,,NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,4,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,26/01/12,0,UNKNOWN,0,0
,20256dc9-7474-429a-b5ae-ed47f3254040,75160c89-f2b3-4bd7-8304-7173f6761c87,strace,4.8,4.8-7.el7/x86_64,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,"Files Added/Deleted,Files Modified",,DYNAMICALLY_LINKED,TRUE,HIGH,Not In Violation,,18/12/19,centos,strace/4.8-7.el7/x86_64,NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,12,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,5/6/13,27,DECREASING,1506,20
,562a07ba-8373-436c-b96c-4bcd4d083ced,bb736571-a117-482b-adf2-de0d795f5355,kernel-msm-modules-qca-wfi-host-cmn,android-q-preview-2_r0.3,android-q-preview-2_r0.3,00000000-0010-0000-0000-000000000000,Unknown License,UNKNOWN,Files Modified,,DYNAMICALLY_LINKED,TRUE,LOW,Not In Violation,,18/12/19,android,kernel-msm-modules-qca-wfi-host-cmn:android-q-preview-2_r0.3,NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,2,HIGH,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/4/19,28,,,
,721ffe26-e775-4612-a9dc-05d12797fde7,2d97c995-3543-48e6-b7e3-66018ac0a9ef,ipset,6.24,6.24-1,39692bc6-4d1c-4466-a02c-fa6f21170587,GNU General Public License v2.0 or later,RECIPROCAL,"Exact,Files Modified",,DYNAMICALLY_LINKED,TRUE,HIGH,Not In Violation,,18/12/19,debian,ipset/6.24-1,NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,7,HIGH,UNREVIEWED,,UNREVIEWED,,0,0,0,0,2/1/15,15,,,
,2510dcac-ef8a-4088-a60c-ae6605054c3c,43fffc9f-8df9-4be7-8af4-7437fa852971,Linux Kernel,3.14.15,3.14.15-2~bpo70+1,0289ba34-8fe7-41db-82e0-49c28b9c2414,GNU General Public License v2.0 only,RECIPROCAL,"Files Added/Deleted,Exact,Files Modified",,DYNAMICALLY_LINKED,TRUE,HIGH,In Violation,,18/12/19,debian,linux/3.14.15-2~bpo70+1,NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,168,HIGH,UNREVIEWED,,UNREVIEWED,,30,287,592,65,31/07/14,2008,STABLE,139330,4037
,cd260ed1-d6da-4660-be5c-991e3fb4a972,5b5f881a-df1b-4832-9516-984fbfa524f1,Ubuntu linux-base,3.13.0,"3.13.0-114.161~precise1,3.13.0-117.164~precise1/armhf",d55d4880-aad2-459d-a427-b613f2e15277,GNU General Public License v1.0 only,RECIPROCAL,"Exact,Files Modified",,DYNAMICALLY_LINKED,TRUE,MEDIUM,In Violation,,18/12/19,"ubuntu, ubuntu","linux-lts-trusty/3.13.0-114.161~precise1, linux-headers-3.13.0-117-generic/3.13.0-117.164~precise1/armhf",NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,47,HIGH,UNREVIEWED,,UNREVIEWED,,7,178,274,29,20/10/16,28,,,
,5b1af4de-45e9-4e7c-baa0-b428a41dee00,21917910-f5f1-49bf-9873-a64aa7e4d399,ASUS RT-AC53,30043806038,30043806038,39692bc6-4d1c-4466-a02c-fa6f21170587,GNU General Public License v2.0 or later,RECIPROCAL,Files Modified,,DYNAMICALLY_LINKED,TRUE,OK,In Violation,,18/12/19,unknown,,NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,3,HIGH,UNREVIEWED,,UNREVIEWED,,1,1,1,0,26/10/16,0,,,
,2510dcac-ef8a-4088-a60c-ae6605054c3c,f045d4a7-8270-44a6-9bac-dda4d575593d,Linux Kernel,3.14,v3.14,0289ba34-8fe7-41db-82e0-49c28b9c2414,GNU General Public License v2.0 only,RECIPROCAL,"Exact,Files Modified",,DYNAMICALLY_LINKED,TRUE,HIGH,In Violation,,18/12/19,github,torvalds/linux:v3.14,NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,462,HIGH,UNREVIEWED,,UNREVIEWED,,30,293,611,69,31/03/14,2101,STABLE,139330,4037
,f650e2c6-1df6-475f-a4e3-5d8ea5ca012d,48a95a44-bc95-4b1c-8681-f76307f69232,u-boot-linaro,2012.08.2,2012.08.2-ubuntu1,"39692bc6-4d1c-4466-a02c-fa6f21170587,0289ba34-8fe7-41db-82e0-49c28b9c2414",(GNU General Public License v2.0 or later AND GNU General Public License v2.0 only),RECIPROCAL,Exact,,DYNAMICALLY_LINKED,TRUE,OK,Not In Violation,,18/12/19,ubuntu,u-boot-linaro/2012.08.2-ubuntu1,NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,112,HIGH,UNREVIEWED,,UNREVIEWED,,0,0,0,0,21/08/12,0,,,
,60ea421c-cf28-48fb-9d16-7213c84a2db1,5d4a856e-42ed-4c26-a2ba-be6a59cbdcb3,TileTool,20150616-snapshot-6b17faf3,6b17faf3d5fa6a727c40613bdf24d73b2a59df27,"39692bc6-4d1c-4466-a02c-fa6f21170587,0289ba34-8fe7-41db-82e0-49c28b9c2414",(GNU General Public License v2.0 or later AND GNU General Public License v2.0 only),RECIPROCAL,Exact,,DYNAMICALLY_LINKED,TRUE,HIGH,Not In Violation,,18/12/19,android,platform-hardware-bsp-kernel-freescale-picoimx-3.14:6b17faf3d5fa6a727c40613bdf24d73b2a59df27,NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,205,HIGH,UNREVIEWED,,UNREVIEWED,,0,0,0,0,17/06/15,40,DECREASING,3,3
,2510dcac-ef8a-4088-a60c-ae6605054c3c,f914f0c6-5a82-4fb6-a6fc-1856937c2ba1,Linux Kernel,3.14.41,3.14.41-r0/armhf,0289ba34-8fe7-41db-82e0-49c28b9c2414,GNU General Public License v2.0 only,RECIPROCAL,"Exact,Files Modified",,DYNAMICALLY_LINKED,TRUE,HIGH,In Violation,,18/12/19,alpine,linux-rpi-dev/3.14.41-r0/armhf,NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,26,HIGH,UNREVIEWED,,UNREVIEWED,,30,287,592,65,6/5/15,1838,STABLE,139330,4037
,33aa45c8-63ed-4d8d-9640-c00fd1d2b532,034bfbcc-fd32-48f2-b8d5-47954acbbdde,AmigaOne/Teron CX/PX Linux kernel port,3.10.0,3.10.0,39692bc6-4d1c-4466-a02c-fa6f21170587,GNU General Public License v2.0 or later,RECIPROCAL,Files Modified,,DYNAMICALLY_LINKED,TRUE,HIGH,Not In Violation,,18/12/19,unknown,,NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,1,HIGH,UNREVIEWED,,UNREVIEWED,,0,0,0,0,25/08/13,1,STABLE,0,0
,98f40de9-7ddf-4842-8e58-bf864b668df7,f347313f-88da-4d34-8d3b-ff889cc00350,IP sets,6.24,"6.24-r0/armhf,6.24-r1/armhf",0289ba34-8fe7-41db-82e0-49c28b9c2414,GNU General Public License v2.0 only,RECIPROCAL,"Exact,Files Modified",,DYNAMICALLY_LINKED,TRUE,HIGH,Not In Violation,,18/12/19,"alpine, alpine","ipset-dev/6.24-r0/armhf, ipset-dev/6.24-r1/armhf",NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,1,HIGH,UNREVIEWED,,UNREVIEWED,,0,0,0,0,24/11/14,52,,,
,6983dcac-3477-41a0-bd7d-11eaa062bf96,d3b45f47-95c8-40fa-8d91-c2188f0d5ee8,IPTables,1.4.21,"1.4.21-r0/aarch64,1.4.21-r1/x86",39692bc6-4d1c-4466-a02c-fa6f21170587,GNU General Public License v2.0 or later,RECIPROCAL,"Exact,Files Modified",,DYNAMICALLY_LINKED,TRUE,HIGH,In Violation,,18/12/19,"yocto, alpine","iptables-doc/1.4.21-r0/aarch64, iptables-dev/1.4.21-r1/x86",NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,1,HIGH,UNREVIEWED,,UNREVIEWED,,0,1,0,1,22/11/13,10,STABLE,247,18
,fbc3470c-37c2-4fba-bb81-b97a01237896,0417cc19-22d7-468c-b033-f6c41cbe23dd,uboot-tools,2011.03,2011.03-1.el6/x86_64,39692bc6-4d1c-4466-a02c-fa6f21170587,GNU General Public License v2.0 or later,RECIPROCAL,"Exact,Files Modified",,DYNAMICALLY_LINKED,TRUE,HIGH,Not In Violation,,18/12/19,fedora,uboot-tools/2011.03-1.el6/x86_64,NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,129,HIGH,UNREVIEWED,,UNREVIEWED,,0,0,0,0,14/04/11,28,,,
,e125cb65-60ca-4fa7-9402-242e41a56b18,45b5b540-a7aa-4225-adb7-e15fc28a4e07,device-casio-koi-uboot,android-wear-7.1.1_r0.5,android-wear-7.1.1_r0.5,"bf913382-7596-42ad-8385-2f49fa655362,f80fb9a9-5329-47c2-864d-00ed5cf744bf,39692bc6-4d1c-4466-a02c-fa6f21170587",(GNU Lesser General Public License v3.0 or later AND GNU General Public License v2.0 or later AND GNU General Public License v3.0 or later),"WEAK_RECIPROCAL,RECIPROCAL","Files Added/Deleted,Exact,Files Modified",,DYNAMICALLY_LINKED,TRUE,OK,Not In Violation,,18/12/19,android,device-casio-koi-uboot:android-wear-7.1.1_r0.5,NOT_REVIEWED,,,APX320X 1.1,KB_COMPONENT,,959,HIGH,UNREVIEWED,,UNREVIEWED,,0,0,0,0,15/03/17,0,